SIDO_NM,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
서울특별시,래미안하이리버아파트,21
고양시,킨텍스,3
서울특별시,진약국,12
포천시,카페숨,11
가평군,스타벅스 남이섬점,11
인천광역시,Bar032,11
포천시,옛고을,11
가평군,마이다스호텔&리조트,5
서울특별시,소바식당 성수점,11
서울특별시,청운문학도서관,2
고양시,맥도날드 정발산점,11
서울특별시,더할랄가이즈 이태원점,11
인천광역시,트리플스트리트,11
안성시,죽산시외버스터미널,9
포천시,이마트 포천점,4
김포시,빠레뜨한남 김포라베니체점,11
NaN,재인폭포,1
서울특별시,틴틴홀,3
서울특별시,포포인츠 바이 쉐라톤 조선 서울역,24
인천광역시,모트커피,11
서울특별시,광장시장,4
서울특별시,오랑제뜨22 연남점,11
양평군,테라로사 서종점,11
서울특별시,도원대중사우나,12
인천광역시,인천도시역사관,2
서울특별시,이촌한강공원,1
인천광역시,고구려짬뽕10101 인천계양점,11
구리시,우미관,11
가평군,감성216,24
여주시,당빛,11
인천광역시,광장김밥,11
NaN,마포 걷고싶은길 4코스,7
NaN,행리단길,4
서울특별시,"국립공원공단 북한산생태탐방원, 광륜사",1
서울특별시,커트매니아,10
서울특별시,챔프커피 2작업실,11
서울특별시,공덕역 공항철도,9
이천시,이천터미널,9
서울특별시,서울고속버스터미널(경부),9
가평군,목동막국수,11
NaN,서울숲카페거리,4
서울특별시,목시서울인사동,24
부천시,랑데자뷰 부천점,11
인천광역시,카페109하우스,11
파주시,해솔마을6단지휴먼시아아파트,22
서울특별시,예림빌6차,21
NaN,반포한강공원 달빛광장,1
이천시,그남자의밥상,11
NaN,광명 가구거리,4
서울특별시,용산역사박물관,2
부천시,제줏간,11
서울특별시,롯데월드,6
화성시,춘천골닭갈비,11
서울특별시,신세계백화점 강남점,4
여주시,수정사우나,3
수원시,호텔아르떼,24
서울특별시,또보겠지떡볶이집 호호시스터점,11
정읍시,정읍역,9
김포시,그믐달,11
서울특별시,소극장혜화당,3
인천광역시,현대프리미엄아울렛 송도점,4
가평군,가평 JH풀빌라,24
포천시,전통술박물관산사원 본원,2
NaN,드라마 “그해우리는” 촬영지,2
용인시,사암오리구이,11
서울특별시,하이커그라운드,3
수원시,수원시립미술관,3
가평군,조무락닭갈비,11
서울특별시,미도인 파이낸스여의도점,11
광명시,로도스피자,11
양평군,옥천고읍냉면,4
용인시,한국민속촌 장터,11
서울특별시,서울공예박물관,2
인천광역시,애관극장,3
서울특별시,두원빌딩,23
인천광역시,신포닭강정 본점,11
NaN,언니집,22
서울특별시,미쁘동 서울숲,11
수원시,진미통닭,11
